U+3007	〇	llll
U+4E00	一	ggll
U+4E01	丁	sgh
U+4E02	丂	gnv
U+4E03	七	agn
U+4E04	丄	hgd
U+4E05	丅	ghk
U+4E06	丆	dgt
U+4E07	万	gqe
U+4E08	丈	dyi
U+4E09	三	dggg
U+4E0A	上	hhgg
U+4E0B	下	ghi
U+4E0C	丌	gjk
U+4E0D	不	dhi
U+4E0E	与	gngd
U+4E0F	丏	ghnn
U+4E10	丐	ghn,ghnv
U+4E11	丑	nhg,nhgg
U+4E12	丒	vygf
U+4E13	专	fny,fnyi
U+4E14	且	egd
U+4E15	丕	dhgd
U+4E16	世	anv
U+4E17	丗	gkgd
U+4E18	丘	rth,rthg
U+4E19	丙	gmw,gmwi
U+4E1A	业	ohh,ohhg
U+4E1B	丛	wwg,wwgf
U+4E1C	东	aii
U+4E1D	丝	xxg,xxgf
U+4E1E	丞	big,bigf
U+4E1F	丟	gcu
U+4E20	丠	uxgf
U+4E21	両	gmmk
U+4E22	丢	tfc,tfcu
U+4E23	丣	gjan
U+4E24	两	gmww
U+4E25	严	got,gote
U+4E26	並	uof
U+4E27	丧	fue,fueu
U+4E28	丨	hhl,hhll
U+4E29	丩	nhk
U+4E2A	个	whj
U+4E2B	丫	uhk
U+4E2C	丬	uygh
U+4E2D	中	khk
U+4E2E	丮	ngk
U+4E2F	丯	ehk
U+4E30	丰	dhk
U+4E31	丱	jnhg
U+4E32	串	kkh,kkhk
U+4E33	丳	kkjk
U+4E34	临	jtyj
U+4E35	丵	oufj
U+4E36	丶	yyl,yyll
U+4E37	丷	uyt
U+4E38	丸	vyi
U+4E39	丹	myd
U+4E3A	为	yey,yeyi
U+4E3B	主	ygd
U+4E3C	丼	fjyi
U+4E3D	丽	gmy,gmyy
U+4E3E	举	igwg
U+4E3F	丿	ttl,ttll
U+4E40	乀	nnll
U+4E41	乁	nnll
U+4E42	乂	rty
U+4E43	乃	bnt
U+4E44	乄	nyi
U+4E45	久	qyi
U+4E46	乆	nwi
U+4E47	乇	tav
U+4E48	么	tcu
U+4E49	义	yri
U+4E4A	乊	tue
U+4E4B	之	ppp,pppp
U+4E4C	乌	tnn,tnng
U+4E4D	乍	thf,thff
U+4E4E	乎	tufk
U+4E4F	乏	tpu
U+4E50	乐	tni,tnii
U+4E51	乑	ithy
U+4E52	乒	rtr
U+4E53	乓	ryu
U+4E54	乔	tdj,tdjj
U+4E55	乕	rfmh
U+4E56	乖	tfu,tfux
U+4E57	乗	tad
U+4E58	乘	tux,tuxv
U+4E59	乙	nnl,nnll
U+4E5A	乚	nnll
U+4E5B	乛	nnll
U+4E5C	乜	nnv
U+4E5D	九	vtn
U+4E5E	乞	tnb
U+4E5F	也	bnhn
U+4E60	习	nud
U+4E61	乡	xte
U+4E62	乢	mnn
U+4E63	乣	xnn
U+4E64	乤	ghnb
U+4E65	乥	tunb
U+4E66	书	nnh,nnhy
U+4E67	乧	ufnb
U+4E68	乨	cknn
U+4E69	乩	hkn,hknn
U+4E6A	乪	nld
U+4E6B	乫	eknb
U+4E6C	乬	annb
U+4E6D	乭	dnb
